ID,Property Information copy,Tenant Orders,Images,Property Type,Marketing Type,Status,Availability,Community,Neighborhood,Company,Location,HOA,HOA Application Cost/Person, Annual Rent , Seasonal Jan - Mar , Off Seasonal April - Dec , Standard Seasonal weekly  , Standard Seasonal daily , Off Seasonal weekly , Off Seasonal daily,Guest List
290,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
291,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
292,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
293,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
294,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
295,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
296,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
297,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
298,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
299,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
300,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
301,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
302,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
303,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
304,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
305,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
306,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
307,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
308,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
309,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
310,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
311,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
312,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
313,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
314,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
315,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
316,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
317,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
318,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
319,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
320,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
321,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
322,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
323,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
324,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
325,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
326,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
327,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
328,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
329,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
330,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
331,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
332,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
333,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
334,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
335,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
336,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
337,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
338,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
339,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
340,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
341,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
342,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
343,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
344,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
345,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
346,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
347,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
348,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
349,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
350,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
351,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
352,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
353,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
354,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
355,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
356,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
357,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
358,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
359,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
360,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
361,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
362,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
363,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
364,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
365,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
366,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
367,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
368,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
369,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
370,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
371,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
372,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
373,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
374,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
375,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
376,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
377,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
378,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
379,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
380,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
381,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
382,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
383,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
384,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
385,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
386,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
387,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
388,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
389,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
390,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
391,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
392,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
393,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
394,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
395,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
396,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
397,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
398,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
399,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
400,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
401,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
402,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
403,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
404,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
405,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
406,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
407,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
408,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
409,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
410,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
411,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
412,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
413,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
414,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
415,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
416,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
417,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
418,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
419,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
420,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
421,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
422,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
423,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
424,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
425,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
426,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
427,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
428,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
429,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
430,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
431,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
432,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
433,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
434,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
435,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
436,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
437,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
438,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
439,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
440,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
441,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
442,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
443,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
444,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
445,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
446,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
447,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
448,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
449,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
450,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
451,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
452,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
453,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
454,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
455,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
456,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
457,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
458,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
459,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
460,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
461,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
462,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
463,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
464,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
465,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
466,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
467,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
468,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
469,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
470,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
471,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
472,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
473,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
474,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
475,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
476,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
477,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
478,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
479,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
480,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
481,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
482,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
483,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
484,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
485,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
486,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
487,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
488,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
489,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
490,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
491,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
492,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
493,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
494,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
495,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
496,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
497,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
498,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
499,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
500,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
501,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
502,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
503,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
504,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
505,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
506,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
507,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
508,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
509,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
510,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
511,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
512,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
513,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
514,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
515,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
516,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
517,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
518,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
519,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
520,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
521,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
522,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
523,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
524,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
525,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
526,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
527,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
528,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
529,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
530,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
531,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
532,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
533,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
534,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
535,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
536,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
537,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
538,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
539,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
540,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
541,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
542,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
543,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
544,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
545,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
546,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
547,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
548,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
549,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
550,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
551,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
552,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
553,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
554,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
555,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
556,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
557,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
558,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
559,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
560,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
561,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
562,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
563,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
564,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
565,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
566,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
567,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
568,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
569,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
570,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
571,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
572,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
573,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
574,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
575,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
576,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
577,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
578,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
579,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
580,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
581,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
582,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
583,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
584,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
585,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
586,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
587,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
588,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
589,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
590,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
591,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
592,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
593,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
594,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
595,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
596,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
597,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
598,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
599,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
600,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
601,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
602,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
603,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
604,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
605,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
606,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
607,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
608,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
609,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
610,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
611,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
612,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
613,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
614,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
615,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
616,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
617,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
618,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
619,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
620,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
621,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
622,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
623,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
624,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
625,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
626,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
627,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
628,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
629,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
630,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
631,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
632,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
633,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
634,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
635,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
